incident energy ,cross_section
1E-05,70499.64
1.0625E-05,68394.66
1.125E-05,66467.63
1.1875E-05,64694.81
1.25E-05,63056.67
1.375E-05,60122.12
1.5E-05,57562.49
1.625E-05,55304.2
1.75E-05,53292.41
1.875E-05,51485.31
2E-05,49850.39
2.1875E-05,47666.02
2.375E-05,45745.72
2.5625E-05,44040.25
2.75E-05,42512.31
2.9375E-05,41133.11
3.125E-05,39879.97
3.3125E-05,38734.8
3.5E-05,37682.93
3.875E-05,35813.08
4.25E-05,34196.52
4.625E-05,32780.78
5E-05,31527.47
5.3125E-05,30586.07
5.625E-05,29724.25
5.9375E-05,28931.4
6.25E-05,28198.78
6.875E-05,26886.38
7.5E-05,25741.64
8.125E-05,24731.67
8.75E-05,23831.94
9.375E-05,23023.75
0.0001,22292.57
0.00010625,21626.89
0.0001125,21017.48
0.00011875,20456.84
0.000125,19938.79
0.0001375,19010.76
0.00015,18201.29
0.0001625,17487.12
0.000175,16850.91
0.0001875,16279.42
0.0002,15762.39
0.00021875,15071.59
0.0002375,14464.31
0.00025625,13924.96
0.000275,13441.76
0.00029375,13005.6
0.0003125,12609.3
0.00033125,12247.15
0.00035,11914.5
0.0003875,11323.17
0.000425,10811.95
0.0004625,10364.24
0.0005,9967.888
0.00053125,9670.183
0.0005625,9397.647
0.00059375,9146.922
0.000625,8915.247
0.0006875,8500.231
0.00075,8138.245
0.0008125,7818.882
0.000875,7534.386
0.0009375,7278.842
0.001,7047.652
0.0010625,6837.178
0.001125,6644.5
0.0011875,6467.243
0.00125,6303.454
0.001375,6010.046
0.0015,5754.124
0.001625,5528.328
0.00175,5327.174
0.001875,5146.483
0.002,4983.007
0.0021875,4764.592
0.002375,4572.588
0.0025625,4402.076
0.00275,4249.328
0.0029375,4111.463
0.003125,3986.21
0.0033125,3871.751
0.0035,3766.614
0.003875,3579.691
0.00425,3418.044
0.004625,3276.449
0.005,3151.101
0.0053125,3056.968
0.005625,2970.815
0.0059375,2891.576
0.00625,2818.367
0.006875,2687.213
0.0075,2572.768
0.008125,2471.747
0.00875,2381.73
0.009375,2300.877
0.01,2227.751
0.010625,2161.213
0.01125,2100.341
0.011875,2044.373
0.0125,1992.67
0.01375,1900.013
0.015,1819.093
0.01625,1747.638
0.0175,1683.972
0.01875,1626.795
0.02,1575.078
0.021325,1525.313
0.02265,1479.995
0.023975,1438.516
0.0253,1400.388
0.02684375,1359.655
0.0283875,1322.348
0.031475,1256.052
0.0345625,1198.653
0.03765,1148.432
0.0407375,1104.043
0.043825,1064.442
0.0469125,1028.825
0.05,996.5651
0.053125,966.8249
0.05625,939.6106
0.059375,914.6217
0.0625,891.6013
0.06875,850.2738
0.075,814.0687
0.08125,782.123
0.0875,753.6711
0.09375,728.1187
0.1,705.0044
0.10625,683.9631
0.1125,664.7032
0.11875,647.0059
0.125,630.7443
0.1375,601.5153
0.15,575.8956
0.1625,553.2974
0.175,533.1703
0.1875,515.0959
0.2,498.805
0.21875,477.0105
0.2375,457.7903
0.25625,440.7237
0.275,425.4363
0.29375,411.6388
0.3125,399.1037
0.33125,387.6504
0.35,377.1946
0.3875,358.5465
0.425,342.3603
0.5,315.6855
0.625,282.3959
0.75,257.7937
0.875,238.7119
1,223.3063
1.25,198.7457
1.5,180.6819
1.75,166.7167
2,155.4945
2.25,146.1125
2.5,138.1988
2.75,131.4106
3,125.5031
3.25,120.2488
3.5,115.5871
3.75,111.579
3.875,109.5896
3.90625,109.0922
3.921875,108.8436
3.9375,108.5953
3.945313,108.4714
3.953125,108.3479
3.960938,108.2251
3.96875,108.1032
3.976563,107.9827
3.984375,107.8639
3.999999,107.6325
4.000001,107.6325
4.000978,107.6184
4.001955,107.6042
4.003908,107.5761
4.007814,107.5203
4.015626,107.4104
4.023439,107.3025
4.031251,107.1962
4.039064,107.0913
4.046876,106.9872
4.062501,106.7808
4.125001,105.96
4.250001,104.3193
4.500001,101.0632
5,95.52632
5.5,90.72567
6,86.5528
6.5,82.88403
7,79.6275
7.75,75.31699
8.5,71.60413
9.25,68.36628
10,65.51109
11.25,61.37413
12.5,57.87939
15,52.29903
17.5,47.97086
20,44.5048
22.5,41.61376
25,39.1854
27.5,37.11108
30,35.31306
32.5,33.70453
35,32.28114
40,29.86584
45,27.885
50,26.2245
55,24.78006
60,23.53077
65,22.43725
70,21.47025
77.5,20.18901
85,19.09216
92.5,18.14047
100,17.30518
112.5,16.0861
125,15.0682
150,13.45664
175,12.22951
200,11.25731
225,10.44482
250,9.767783
275,9.193222
300,8.69823
325,8.259525
350,7.873149
400,7.221959
450,6.692351
500,6.251592
550,5.874579
600,5.550274
650,5.267778
700,5.019081
775,4.696506
850,4.421716
925,4.184296
1000,3.976734
1125,3.688873
1250,3.449068
1500,3.070343
1750,2.782783
2000,2.555565
2250,2.381683
2500,2.236203
2750,2.11227
3000,2.005149
3250,1.921005
3500,1.846269
4000,1.718865
4500,1.6138
5000,1.525279
5500,1.460265
6000,1.403344
6500,1.352943
7000,1.307901
7750,1.257739
8500,1.213887
9250,1.175086
10000,1.140419
12500,1.069514
15000,1.014869
17500,0.9708533
20000,0.9342731
22500,0.9103503
25000,0.8894727
27500,0.8709992
30000,0.8544706
37090.2,0.8208367
44180.4,0.794103
50000,0.764213
55000,0.7388501
60000,0.7164314
65000,0.6964093
70000,0.678371
77500,0.6592254
85000,0.6423179
92500,0.6272213
100000,0.613617
110904,0.5980634
120000,0.586482
130000,0.5822442
140000,0.578348
147603,0.579172
170000,0.591506
185000,0.6080626
200000,0.623738
225000,0.6461588
250000,0.666897
275000,0.7070266
300000,0.745767
309262,0.755931
309263,0.7559326
354631.5,0.8281996
400000,0.897443
450000,1.011217
500000,1.12516
530164,1.18265
530164.4,1.182651
600000,1.33218
650000,1.443692
700000,1.55524
800000,1.72806
900000,1.88075
1000000,2.01707
1100000,2.12989
1200000,2.22974
1300000,2.3172
1400000,2.39619
1500000,2.46204
1600000,2.52125
1700000,2.5679
1800000,2.60911
1900000,2.64026
2000000,2.66672
2100000,2.68619
2200000,2.699872
2300000,2.71301
2400000,2.720152
2500000,2.72702
2600000,2.729852
2700000,2.73258
2775000,2.732351
2850000,2.732128
2925000,2.731911
3000000,2.7317
3125000,2.723317
3250000,2.715288
3375000,2.707583
3500000,2.70018
3625000,2.685288
3750000,2.67098
3875000,2.657213
4000000,2.643951
4125000,2.624688
4250000,2.606134
4375000,2.588244
4500000,2.570976
4625000,2.552808
4750000,2.535267
4875000,2.518319
5000000,2.501928
5125000,2.493718
5250000,2.485971
5375000,2.478664
5500000,2.471772
5750000,2.498542
6000000,2.526516
6500000,2.630196
7000000,2.726843
7396650,2.783914
7396657,2.783915
7500000,2.799036
8000000,2.841264
8500000,2.854027
9000000,2.851853
9500000,2.844882
10000000,2.837471
10500000,2.83201
11000000,2.822954
11500000,2.814686
12000000,2.806547
12500000,2.79597
13000000,2.786283
13500000,2.776587
13585600,2.775041
13585670,2.775039
14000000,2.768046
14500000,2.762378
15000000,2.759937
15500000,2.762228
16000000,2.764137
16500000,2.768821
17000000,2.772156
17500000,2.775819
18000000,2.779165
18500000,2.78253
19000000,2.78436
19500000,2.785789
20000000,2.78608
